"All In One Lenovo 27IMB05 Intel Core i5, 8GB RAM, 1TB HHD + 256GB SSD, 27'","1175986","sku:1175986
Color:Black
Marca:LENOVO
Tipo de producto:All in one
Almacenamiento mecánico:Si
Almacenamiento SSD:Si
Alto del empaque:50 CM
Alto del producto:43 CM
Ancho del empaque:60 CM
Ancho del producto:54 CM
Bahía de almacenamiento expandible:Si
Bloqueo de seguridad:No
Bluetooth:V 5.0
Brillo máximo:150 nits
Cantidad de núcleos:Hexa Core
Cantidad de parlantes:2
Cantidad de slot:2
Chipset:Intel B460
Consumo:90 W
Display port:1
Entrada de audio:1
Entradas HDMI:1
Entradas USB 2.0:1
Entradas USB 3.0:2
Garantía del proveedor:1 año
Idioma del sistema operativo:Español
Lector de huella digital:No
Lector de tarjetas de memorias SD:Si
Memoria RAM:8 GB
Memoria RAM en slot:8 GB
Memoria ram máxima soportada:16 GB
Micrófono integrado:Si
Modelo tarjeta gráfica:Integrated Intel UHD Graphics 630
NFC integrado:No
País de origen:China
Pantalla táctil:No
Peso con empaque:7 KG
Peso del producto:6,8 KG
Profundidad del empaque:25 CM
Profundidad del producto:18 CM
Puerto RJ45:1
Almacenamiento total:1 TB HDD + 256 GB SSD
Año del modelo:2021
Cantidad de ranuras para memoria:2
Resolución pantalla:1920 x 1080 PX
Sistema de sonido:Realtek
Sistema operativo:Windows 10 Home
Slot en uso:2
Tamaño de la pantalla:27,1
Tasa de refresco:60 Hz
Teclado numérico:Si
Teclado retroiluminado:No
Teclas anti-ghosting:No
Tipo de gráficos:Integrados
Tipo de memoria ram:DDR4
Tipo de mouse:Óptico
Tipo de panel:Plano
Tipo de pantalla:LCD
Tipo de procesador:Intel Core i5-10400T
Velocidad de memoria ram:2666 MHz
Velocidad del disco duro:5400 RPM
Velocidad del procesador:3,6 GHz
Wi-Fi integrado:No
Tipo de bahía de almacenamiento:PCIe NVMe
Unidad óptica:No
Modelo:27IMB05
Información adicional:"
"All In One Lenovo 24ITL6 Intel Core i5, 16GB RAM, 512GB SSD, 23,8'","1175987","sku:1175987
Color:White
Marca:LENOVO
Tipo de producto:All in one
Almacenamiento SSD:Si
Alto del empaque:50 CM
Alto del producto:43 CM
Ancho del empaque:60 CM
Ancho del producto:54 CM
Bahía de almacenamiento expandible:Si
Bloqueo de seguridad:No
Bluetooth:V 5.0
Brillo máximo:250 nits
Cantidad de núcleos:Quad Core
Cantidad de parlantes:2
Cantidad de slot:2
Chipset:Intel SoC Platform
Consumo:90 W
Display port:1
Entrada de audio:1
Entradas HDMI:1
Entradas USB 2.0:1
Entradas USB 3.0:2
Garantía del proveedor:1 año
Idioma del sistema operativo:Español
Lector de huella digital:No
Lector de tarjetas de memorias SD:Si
Memoria RAM:16 GB
Memoria RAM en slot:8 GB
Memoria ram máxima soportada:16 GB
Micrófono integrado:Si
Modelo tarjeta gráfica:Integrated Intel Iris Xe Graphics
NFC integrado:No
País de origen:China
Pantalla táctil:No
Peso con empaque:7 KG
Peso del producto:6,8 KG
Profundidad del empaque:25 CM
Profundidad del producto:18 CM
Puerto RJ45:1
Almacenamiento total:512 GB
Año del modelo:2021
Cantidad de ranuras para memoria:2
Resolución pantalla:1920 x 1080 PX
Sistema de sonido:Realtek
Sistema operativo:Windows 11 Home
Slot en uso:2
Tamaño de la pantalla:23,8 Pulgadas
Tasa de refresco:60 Hz
Teclado numérico:No
Teclado retroiluminado:No
Teclas anti-ghosting:No
Tipo de almacenamiento:SSD
Tipo de gráficos:Integrados
Tipo de memoria ram:DDR4
Tipo de mouse:Óptico
Tipo de panel:Plano
Tipo de pantalla:LCD
Tipo de procesador:Intel Core i5-1135G7
Velocidad de memoria ram:3200 MHz
Velocidad del procesador:4,2 GHz
Wi-Fi integrado:No
Tipo de bahía de almacenamiento:PCIe NVMe
Modelo:24ITL6
Información adicional:Cuenta con Webcam, ayuda virtual y password al inicio"
"Microondas Fensa FMH 2.5 25 Litros 1450 W Acero Inoxidable","1175989","sku:1175989
Color:Acero inoxidable
Marca:FENSA
Tipo de producto:Microondas
Alimentación:Eléctrica
Alto del producto:38,8 CM
Ancho del producto:59,4 CM
Profundidad del producto:41 CM
Bloqueo de seguridad:Si
Potencia:1450 W
Tipo de panel:Análogo
GTIN:7807311590380
Alto del empaque:46 CM
Ancho del empaque:65 CM
Profundidad del empaque:51 CM
Garantía del proveedor:6 meses
Modelo:FMH 2.5
País de origen:China
Cantidad de programas:10
Consumo:0,321 KWH/Mes
Eficiencia energética:E
Capacidad:25 L
Grill:Si
Iluminación interior:Si
Apertura de puerta:Manual
Función de descongelado:Si
Material del plato giratorio:Vidrio"
"Tablet Lenovo Yoga 11, 4GB RAM, 128GB, Wi-Fi, 10,3', Octa Core","1175995","sku:1175995
Color:Platinum Grey
Marca:LENOVO
Tipo de producto:Tablet
Alto del empaque:10 CM
Alto del producto:0,85 CM
Ancho del empaque:30 CM
Ancho del producto:24 CM
Bluetooth:V 5.0
Brillo máximo:330 nits
Cantidad de núcleos:Octa Core
Cantidad de parlantes:2
Capacidad del disco duro:128 GB
Chipset:MediaTek SoC Platform
Consumo:5 V
Duración de la batería:8 horas
Entrada de audio:1
Entradas USB tipo C:1
Garantía del proveedor:1 año
Idioma del sistema operativo:Español
Lector de tarjetas de memorias SD:Si
Material de la batería:Li-on
Material del chasis:Metal
Memoria RAM:4 GB
Micrófono integrado:Si
Modelo tarjeta gráfica:Integrated ARM Mali-G76 MC4 GPU
País de origen:China
Peso con empaque:600 GR
Peso del producto:460 GR
Profundidad del empaque:17
Profundidad del producto:15 CM
Puerto mini display:1
Año del modelo:2020
Resolución pantalla:1920 x 1200 PX
Sistema de sonido:Dolby Atmos
Sistema operativo:Android 11
Tamaño de la pantalla:10,3 Pulgadas
Tasa de refresco:60 Hz
Tipo de gráficos:Integrados
Tipo de memoria ram:LPDDR4x
Tipo de pantalla:LCD
Tipo de procesador:MediaTek Helio G90T
Tipo de wi fi:11ac 1x1
Velocidad del procesador:2.0 GHz
Wi-Fi integrado:Si
Capacidad de la batería:5000 mAh
Modelo:YT-J706F
Part number:ZA8W0073CL"
"Tablet Lenovo Tab M10 Plus, 4GB RAM, 128GB, Wi-Fi, 10,3', Octa Core","1175996","sku:1175996
Color:Platinum Grey
Marca:LENOVO
Tipo de producto:Tablet
Alto del empaque:2 CM
Alto del producto:0,85 CM
Ancho del empaque:30 CM
Ancho del producto:24 CM
Bloqueo de seguridad:Si
Bluetooth:V 5.0
Brillo máximo:330 nits
Cantidad de núcleos:Octa Core
Cantidad de parlantes:2
Capacidad del disco duro:128 GB
Chipset:MediaTek SoC Platform
Duración de la batería:8 horas
Entrada de audio:1
Entradas USB tipo C:1
Garantía del proveedor:1 año
Idioma del sistema operativo:Español
Lector de huella digital:No
Lector de tarjetas de memorias SD:Si
Material de la batería:Li-on
Material del chasis:Metal
Memoria RAM:4 GB
Micrófono integrado:Si
País de origen:China
Peso con empaque:1 KG
Peso del producto:460 CM
Profundidad del empaque:17 CM
Profundidad del producto:15 CM
Año del modelo:2020
Resolución pantalla:1920 x 1200 PX
Sistema de sonido:Dolby Atmos
Sistema operativo:Android 9
Tamaño de la pantalla:10,3 Pulgadas
Tasa de refresco:60 Hz
Tipo de memoria ram:LPDDR4x
Tipo de pantalla:LCD
Tipo de procesador:MediaTek Helio P22T
Tipo de wi fi:11ac 1x1
Velocidad del procesador:2,3 GHz
Wi-Fi integrado:Si
Tipo de puerto para adaptador de alimentación:Round Tip
Capacidad de la batería:7500 mAh
Modelo:TB-X606F
Part number:ZA5T0166CL"
"Notebook Lenovo Ideapad 3 AMD Ryzen 3, 12GB RAM, 1TB + 128GB, 15,6'","1175997","sku:1175997
Color:Abyss Blue
Marca:LENOVO
Tipo de producto:Notebook
Almacenamiento mecánico:Si
Almacenamiento SSD:Si
Alto del empaque:25 CM
Alto del producto:1,9 CM
Ancho del empaque:40 CM
Ancho del producto:36 CM
Bahía de almacenamiento expandible:Si
Bloqueo de seguridad:Si
Bluetooth:V 5.0
Brillo máximo:220 nits
Cantidad de núcleos:Dual Core
Cantidad de parlantes:2
Cantidad de slot:1
Capacidad del disco duro:1 TB + 128 GB
Chipset:AMD SoC Platform
Consumo:65 W
Duración de la batería:5 horas
Entrada de audio:1
Entradas USB 2.0:1
Entradas USB 3.0:1
Entradas USB 3.1:1
Garantía del proveedor:1 año
Idioma del sistema operativo:Español
Lector de huella digital:No
Lector de tarjetas de memorias SD:Si
Material de la batería:Li-on
Material del chasis:PC + ABS
Memoria RAM:12 GB
Memoria RAM en slot:8 GB
Memoria ram máxima soportada:12 GB
Micrófono integrado:Si
País de origen:China
Pantalla táctil:No
Peso con empaque:2 KG
Peso del producto:1,85 KG
Profundidad del empaque:3 CM
Profundidad del producto:25 CM
Puerto mini display:1
Resolución pantalla:1366 x 768 PX
Sistema de sonido:High Definition (HD) Audio
Sistema operativo:Windows 11 Home 64
Slot en uso:1
Tamaño de la pantalla:15,6 Pulgadas
Tasa de refresco:60 Hz
Teclado numérico:Si
Teclado retroiluminado:No
Teclas anti-ghosting:No
Tipo de gráficos:Integrado
Tipo de memoria ram:DDR4
Tipo de pantalla:LCD
Tipo de procesador:AMD Ryzen 3 3250U
Velocidad de memoria ram:2400 MHz
Velocidad del disco duro:5400 RPM
Velocidad del procesador:3,5 GHz
Wi-Fi integrado:Si
Tipo de bahía de almacenamiento:M.2
Tipo de batería:Integrada
Tipo de puerto para adaptador de alimentación:Round Tip
Voltaje de salida:65 W
Modelo:15ADA05
Información adicional:Cuenta con Webcam, Memoria RAM integrada de 4 GB y Procesador AMD Ryzen 3 3250U (2C / 4T, 2.6 / 3.5GHz, 1MB L2 / 4MBL3)"
"Notebook Lenovo Ideapad 3 AMD Ryzen 3, 8GB RAM, 512GB SSD, 14,1' ","1175998","sku:1175998
Color:Abyss Blue
Marca:LENOVO
Tipo de producto:Notebook
Almacenamiento SSD:Si
Alto del empaque:25 CM
Alto del producto:1,9 CM
Ancho del empaque:40 CM
Ancho del producto:36 CM
Bahía de almacenamiento expandible:Si
Bloqueo de seguridad:Si
Bluetooth:V 5.0
Brillo máximo:250 nits
Cantidad de núcleos:Quad Core
Cantidad de parlantes:2
Cantidad de slot:1
Capacidad del disco duro:512 GB
Chipset:AMD SoC Platform
Consumo:65 W
Duración de la batería:5 horas
Entrada de audio:1
Entradas USB 2.0:1
Entradas USB 3.0:1
Entradas USB 3.1:1
Garantía del proveedor:1 año
Idioma del sistema operativo:Español
Lector de huella digital:No
Lector de tarjetas de memorias SD:Si
Material de la batería:Li-on
Material del chasis:PC + ABS
Memoria RAM:8 GB
Memoria RAM en slot:4 GB
Memoria ram máxima soportada:12 GB
Micrófono integrado:Si
País de origen:China
Pantalla táctil:No
Peso con empaque:2 KG
Peso del producto:1,85 KG
Profundidad del empaque:3 CM
Profundidad del producto:25 CM
Puerto mini display:1
Resolución pantalla:1920 x 1080 PX
Sistema de sonido:High Definition (HD) Audio
Sistema operativo:Windows 11 Home 64
Slot en uso:1
Tamaño de la pantalla:14,1 Pulgadas
Tasa de refresco:60 Hz
Teclado numérico:Si
Teclado retroiluminado:No
Teclas anti-ghosting:No
Tipo de gráficos:Integrado
Tipo de memoria ram:DDR4
Tipo de pantalla:LCD
Tipo de procesador:AMD Ryzen 3 5300U
Velocidad de memoria ram:3200 MHz
Velocidad del procesador:3,8 GHz
Wi-Fi integrado:Si
Tipo de bahía de almacenamiento:M.2
Tipo de disco duro:SSD
Tipo de puerto para adaptador de alimentación:Round Tip
Voltaje de salida:65 W
Modelo:14ALC6
Información adicional:Cuenta con Webcam"
"Notebook Lenovo Ideapad 3 PenG7505, 12GB RAM, 256GB SSD, 15,6'  ","1175999","sku:1175999
Color:Arctic Grey
Marca:LENOVO
Tipo de producto:Notebook
Almacenamiento SSD:Si
Alto del empaque:25 CM
Alto del producto:1,9 CM
Ancho del empaque:40 CM
Ancho del producto:36 CM
Bahía de almacenamiento expandible:Si
Bloqueo de seguridad:Si
Bluetooth:V 5.0
Brillo máximo:250 nits
Cantidad de núcleos:Dual Core
Cantidad de parlantes:2
Cantidad de slot:1
Capacidad del disco duro:256 GB
Chipset:Intel SoC Platform
Consumo:65 W
Duración de la batería:5 horas
Entrada de audio:1
Entradas USB 2.0:1
Entradas USB 3.0:1
Entradas USB 3.1:1
Garantía del proveedor:1 año
Idioma del sistema operativo:Español
Lector de huella digital:No
Lector de tarjetas de memorias SD:Si
Material de la batería:Li-on
Material del chasis:PC + ABS
Memoria RAM:8 GB
Memoria RAM en slot:4 GB
Memoria ram máxima soportada:12 GB
Micrófono integrado:Si
País de origen:China
Pantalla táctil:No
Peso con empaque:2 KG
Peso del producto:1,85 KG
Profundidad del empaque:3 CM
Profundidad del producto:25 CM
Puerto mini display:1
Resolución pantalla:1920 x 1080 PX
Sistema de sonido:High Definition (HD) Audio
Sistema operativo:Windows 10 Home 64
Slot en uso:1
Tamaño de la pantalla:15,6 Pulgadas
Tasa de refresco:60 Hz
Teclado numérico:Si
Teclado retroiluminado:No
Teclas anti-ghosting:No
Tipo de gráficos:Integrado
Tipo de memoria ram:DDR4
Tipo de pantalla:LCD
Tipo de procesador:Intel Pentium Gold 7505
Velocidad de memoria ram:3200 MHz
Velocidad del procesador:3,5 GHz
Wi-Fi integrado:Si
Tipo de bahía de almacenamiento:M.2
Tipo de batería:Integrada
Tipo de disco duro:SSD
Tipo de puerto para adaptador de alimentación:Round Tip
Voltaje de salida:65 W
Modelo:15ITL6
Información adicional:"
"Combo Máquina Overlock Singer 14HD854 + Máquina de Coser Computarizada Singer HD6605C","1176001","sku:1173711
Color:Blanco
Marca:SINGER
Tipo de producto:Máquinas de coser y Accesorios
Alto del producto:20 CM
Ancho del producto:40 CM
Profundidad del producto:60 CM
Peso del producto:8 KG
Bloqueo de seguridad:Si
Tipo de panel:Análogo
Accesorios:Pie de uso general, pie de cremallera, pie de ojal, pie de costura de botón, guía de borde / acolchado, paquete de agujas, bobinas, fieltro para hilos, desatornillador, cepillos para pelusas, cubierta de polvo suave.
Alto del empaque:22 CM
Ancho del empaque:45 CM
Peso con empaque:8 KG
Profundidad del empaque:40 CM
Garantía del proveedor:2 años
Modelo:14HD854
País de origen:Vietnam
Iluminación incorporada:Si
Material de la estructura:Plástico
Ajuste de tensión de hilo:Si
Cajón para accesorios:No
Control de velocidad:Si
Cortador automático de hilo:Si
Enhebrador automático:Si
Material del marco:Acero
Palanca de rodilla:No
Presión de pedal ajustable:Si
Puntadas por minuto:1100
Devanador automático:Si
Cantidad de agujas:1
Cantidad de puntadas:23
Capacidad de coser cuero:Si
Memoria de diseño:No
Tipos de puntada:Variable
Información adicional:"
"Cama Europea Celta 1,5 Plazas Active 105 x 190 CM + Set Muebles Alba White","1176002","sku:1176002
Marca:CELTA
Tipo de producto:Cama Europea
Garantía del proveedor:1 año
Modelo:Active
Plazaje:1,5 Plazas
Manual de armado incluido:Si
Material de la base:Madera de pino
Material del tapiz de la base:Tela
Requiere armado:Si
Cantidad de patas:4
Tipo de base:Normal
Ancho de la base:105 CM
Alto de la base:38 CM
Largo de la base:190 CM
Peso de la base:23 KG
Ancho del colchón:105 CM
Alto del colchón:24 CM
Largo del colchón:190 CM
Peso del colchón:20 KG
Material del tapiz del colchón:Tela de punto
Tipo de resortes del colchón:Bonnell
Alto total:62 CM
Información adicional:"
