"Inflador Inalámbrico Black+Decker Multipropósito BDINF20-B2C","1174114","sku:1174114
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramientas
GTIN:885911638012
Modelo:BDINF20-B2C
Alto del empaque:23 CM
Ancho del empaque:30 CM
Peso con empaque:5,3 KG
Alto del producto:21 CM
Ancho del producto:19 CM
Largo del producto:29,5 CM
Peso del producto:2,5 KG
Alimentación:Eléctrica
Incluye:
Características adicionales:
Garantía del proveedor:6 meses","inflador-inalambrico-black-decker-multiproposito-bdinf20-b2c-1174114","93893"
"Esmeril Black+Decker 820W + 20 Disco Corte G720-20DISCO","1174103","sku:1174103
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramienta
Modelo:G720-20DISCOS
Accesorios:20 discos metalicos
Alto del empaque:25 CM
Ancho del empaque:32 CM
Peso con empaque:15 KG
Alto del producto:11,3 CM
Ancho del producto:13 CM
Largo del producto:31,3 CM
Peso del producto:2,5 KG
Alimentación:Eléctrica
Incluye:
Características adicionales:
Garantía del proveedor:6 meses","esmeril-black-decker-820w-20-disco-corte-g720-20disco-1174103","37552"
"Set 153 Herramientas Black+Decker Manuales BMT153C-LA","1174079","sku:1174079
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramientas
GTIN:888317002005
Modelo:BMT153C-LA
Alto del empaque:2,5 CM
Ancho del empaque:2,5 CM
Peso con empaque:0,5 KG
Alto del producto:2,5 CM
Ancho del producto:2,5 CM
Largo del producto:2,5 CM
Peso del producto:0,5 KG
Incluye:
Características adicionales:
Garantía del proveedor:6 meses","set-153-herramientas-black-decker-manuales-bmt153c-la-1174079","39064"
"Taladro Atornillador Black+Decker 12V + 18 Accesorios CD121KA-B2C","1174113","sku:1174113
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramientas
Modelo:CD121KA-B2C
Alto del empaque:25,5 CM
Ancho del empaque:30,5 CM
Peso con empaque:12,7 KG
Alto del producto:12 CM
Ancho del producto:19 CM
Largo del producto:28,5 CM
Peso del producto:3 KG
Alimentación:Eléctrica
Incluye:
Características adicionales:
Garantía del proveedor:6 meses","taladro-atornillador-black-decker-12v-18-accesorios-cd121ka-b2c-1174113","53516"
"Aspiradora para Auto Black+Decker Compacta 12V BDCV370-LA","1174097","sku:1174097
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramienta
GTIN:885911651998
Modelo:BDCV370-LA
Alto del empaque:13 CM
Ancho del empaque:14 CM
Peso con empaque:2,1 KG
Alto del producto:4,4 CM
Ancho del producto:12,2 CM
Largo del producto:25,5 CM
Peso del producto:1,1 KG
Alimentación:Electrica
Incluye:
Características adicionales:
Garantía del proveedor:6 meses","aspiradora-para-auto-black-decker-compacta-12v-bdcv370-la-1174097","34735"
"Batería Black+Decker 20V LD120BAT Naranjo","1174090","sku:1174090
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramientas
GTIN:885911513128
Modelo:LD120BAT0
Alto del empaque:14,5 CM
Ancho del empaque:18 CM
Peso con empaque:1 KG
Capacidad:1,5 Ah
Alto del producto:12,5 CM
Ancho del producto:8,5 CM
Largo del producto:17,5 CM
Peso del producto:0,4 KG
Alimentación:Eléctrico
Características adicionales:
Garantía del proveedor:6 meses","bateria-black-decker-20v-ld120bat-naranjo-1174090","34735"
"Inflador multipropósito Black+Decker 12V BDINF12-LA","1174108","sku:1174108
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramienta
GTIN:885911638326
Modelo:BDINF12-LA
Alto del empaque:27 CM
Ancho del empaque:25 CM
Peso con empaque:4,2 KG
Alto del producto:24,5 CM
Ancho del producto:16 CM
Largo del producto:23 CM
Peso del producto:2,1 KG
Alimentación:Eléctrico
Incluye:
Características adicionales:
Garantía del proveedor:6 meses","inflador-multiproposito-black-decker-12v-bdinf12-la-1174108","61027"
"Hidrolavadora 1600W Black+Decker BW16-B2C","1174135","sku:1174135
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Hidrolavadora
GTIN:885911524773
Modelo:BW16-B2C
Alto del producto:46 CM
Ancho del producto:26 CM
Largo del producto:31 CM
Incluye:
Información adicional:
Garantía del proveedor:6 meses","hidrolavadora-1600w-black-decker-bw16-b2c-1174135","115491"
"Hidrolavadora Alta Presión Black+Decker 1400W PW1450TD-B2C","1174115","sku:1174115
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Hidrolavadora
Alimentación:Eléctrica
Alto del producto:44,9 CM
Ancho del producto:19,3 CM
Profundidad del producto:26,5 CM
Peso del producto:4,9 KG
Potencia:1400 W
GTIN:885911741217
Garantía del proveedor:6 meses
Modelo:PW1450TD-B2C","hidrolavadora-alta-presion-black-decker-1400w-pw1450td-b2c-1174115","84504"
"Taladro Atornillador 12V + 50 Accesorios Black+Decker CD121K50-B2C","1174121","sku:1174121
Color:Naranjo
Marca:BLACK+DECKER
Tipo de producto:Herramientas
Modelo:CD121K50-B2C
Alto del empaque:26,5 CM
Ancho del empaque:31 CM
Peso con empaque:10,5 KG
Alto del producto:14 CM
Ancho del producto:21,5 CM
Largo del producto:24 CM
Peso del producto:2,5 KG
Incluye:
Información adicional:
Garantía del proveedor:6 meses","taladro-atornillador-12v-50-accesorios-black-decker-cd121k50-b2c-1174121","61027"
